FinTech Co - Information Security Risk Register,,,,,,,,,,,,,
Fictional Fintech Organization (50 employees) | Aligned to ISO 27001 & NIST CSF | Last Reviewed: March 2026,,,,,,,,,,,,,
Risk ID,Category,Risk Title,Risk Description,Affected Asset / Process,Threat Source,"Likelihood
(1–5)","Impact
(1–5)","Risk Score
(L×I)",Risk Rating,Current Controls,Treatment,Recommended Action,Owner
R-011,Operational / People Risk,Accidental Data Deletion,Employee accidentally deletes critical database or configuration files,"Databases, configuration management",Internal - human error,3,4,12,High,Daily automated backups,Mitigate,Implement soft-delete / versioning; test restore procedures quarterly,IT Ops
R-012,Operational / People Risk,Inadequate Security Awareness,"Employees unaware of security policies, leading to policy violations or incidents",All systems and data,Internal - human error,4,3,12,High,Annual security awareness training,Mitigate,Move to quarterly micro-trainings; track completion; simulate phishing monthly,HR / Security
R-013,Operational / People Risk,Unauthorised Shadow IT,Employees use unapproved SaaS tools storing company or customer data,"Data governance, compliance posture",Internal - people,3,3,9,Medium,Acceptable use policy exists,Mitigate,Deploy CASB; publish approved software catalogue; enforce policy with HR,IT Security
R-014,Business Continuity / DR,Data Centre / Primary Cloud Region Failure,Primary hosting environment becomes unavailable due to outage or disaster,"All hosted services, customer-facing applications",Natural disaster / infra failure,2,5,10,High,Single-region deployment with snapshots,Mitigate,Design multi-region active-passive architecture; test failover bi-annually,CTO / Cloud Arch
R-015,Business Continuity / DR,Backup Failure / Data Loss,Backup processes fail silently; data unrecoverable during incident,All critical data assets,Internal - process failure,2,5,10,High,Automated nightly backups (untested),Mitigate,Implement backup monitoring with alerts; schedule quarterly restore tests,IT Ops
R-016,Business Continuity / DR,Business Continuity Plan Not Tested,BCP exists on paper but has never been exercised; real invocation likely to fail,All business operations,Internal - governance gap,3,4,12,High,BCP document in place,Mitigate,Conduct tabletop exercise within 90 days; schedule annual full DR test,COO / CISO
R-017,Business Continuity / DR,Extended Power / Internet Outage,Office or co-location facility loses power or connectivity for extended period,"Office operations, on-prem systems",External - infrastructure,2,3,6,Medium,UPS units in office,Accept,Document remote-work fallback procedure; consider cloud-first migration,IT Manager
R-018,Cyber / Data Breach,API Security Misconfiguration,Internal or external APIs expose excessive data or lack proper authentication,"Customer data, payment integrations",External attacker,3,4,12,High,Basic API keys in use,Mitigate,Implement OAuth 2.0 / API gateway; conduct annual API security review,AppSec Lead
R-019,Third-Party / Vendor Risk,Open Source Software Vulnerability,Unvetted open-source library contains malicious code or critical CVE,"Application codebase, build pipeline",Supply chain / external,3,4,12,High,No formal SCA in place,Mitigate,Integrate SCA tool (e.g. Snyk/Dependabot) into CI/CD pipeline,Engineering Lead
R-020,Operational / People Risk,Privileged Access Abuse,Admin accounts used without oversight; excessive privileges granted and not revoked,"All systems, databases, cloud infrastructure",Internal - people,2,4,8,Medium,Some access reviews done annually,Mitigate,Implement PAM solution; enforce just-in-time access; quarterly privilege reviews,IT Security
